exercise,description,tip,Chest,Back,Shoulders,Biceps,Triceps,Forearms,Abs,Lower_Back,Glutes,Quads,Hamstrings,Calves,Adductors_Abductors
Dumbbell Goblet Squat,"Stand with feet shoulder-width apart, toes slightly out. Hold one dumbbell vertically against your chest with both hands. Lower your hips down as if sitting in a chair, keeping your chest up and back straight. Ensure your knees track over your toes. Go as low as comfortable without knee pain. Push through your heels to return to standing.",Keep your core engaged throughout the movement. Focus on pushing your knees out slightly as you descend.,0,0,0,0,0,2,0,2,4,5,2,2,3
Dumbbell Push-Ups,"Place two dumbbells on the floor, shoulder-width apart, handles parallel. Grip the handles and get into a push-up position (hands on dumbbells, body in a straight line from head to heels). Lower your chest towards the floor, keeping your elbows tucked slightly. Push back up. You can perform these on your knees if a full push-up is too challenging.",Keep your core tight to prevent your hips from sagging. The dumbbells provide a greater range of motion for your chest.,5,0,3,0,4,0,3,0,0,0,0,0,0
Dumbbell Bicep Curls,"Stand or sit with a dumbbell in each hand, palms facing forward. Keep your elbows close to your sides. Curl the dumbbells up towards your shoulders, squeezing your biceps at the top. Slowly lower the dumbbells back to the starting position.",Avoid swinging the weights. Keep the movement controlled and focus on isolating the bicep.,0,0,0,5,0,3,0,0,0,0,0,0,0
Dumbbell Overhead Triceps Extension,"Stand or sit. Hold one dumbbell with both hands, gripping one end, and extend it overhead. Keep your elbows pointing forward and close to your head. Lower the dumbbell behind your head by bending your elbows. Extend your arms to raise the dumbbell back up.",Keep your upper arms stationary throughout the movement.,0,0,2,0,5,0,0,0,0,0,0,0,0
Plank,"Get into a push-up position, then lower onto your forearms. Keep your body in a straight line from head to heels. Brace your core, squeeze your glutes, and avoid letting your hips sag or rise too high.",Imagine drawing your belly button towards your spine. Keep your gaze towards the floor to maintain a neutral neck.,0,0,0,0,0,0,5,3,0,0,0,0,0
Dumbbell Romanian Deadlift (RDL),"Stand with feet hip-width apart, holding a dumbbell in each hand in front of your thighs. Keep a slight bend in your knees. Hinge at your hips, pushing your glutes back, and lower the dumbbells towards the floor, keeping your back straight and chest up. You should feel a stretch in your hamstrings. Return to the starting position by squeezing your glutes and extending your hips forward.","Focus on the hip hinge, not rounding your back. Keep the dumbbells close to your legs.",0,2,0,0,0,3,0,4,4,0,5,0,0
Dumbbell Bent-Over Rows,"Hold a dumbbell in each hand, palms facing each other. Hinge at your hips, keeping your back straight, until your torso is nearly parallel to the floor (or as low as comfortable for your lower back). Let the dumbbells hang down. Pull the dumbbells up towards your chest, squeezing your shoulder blades together. Slowly lower them back down.",Keep your core tight and avoid shrugging your shoulders. Focus on pulling with your back muscles.,0,5,2,3,0,3,0,2,0,0,0,0,0
Resistance Band Pull-Aparts,"Hold a light to medium resistance band with both hands, palms down, arms extended straight out in front of you at shoulder height. Keeping your arms straight (slight bend in elbows is fine), pull the band apart, squeezing your shoulder blades together. Control the return to the starting position.",Don't use your momentum. Focus on a controlled squeeze of your upper back muscles.,0,4,3,0,0,0,0,0,0,0,0,0,0
Dumbbell Reverse Flyes,"Hold a light dumbbell in each hand. Hinge at your hips like the bent-over row, letting the dumbbells hang. With a slight bend in your elbows, raise the dumbbells out to the sides in an arc, squeezing your shoulder blades at the top. Lower with control.",Imagine you're squeezing a pencil between your shoulder blades. Keep the movement controlled.,0,4,4,0,0,0,0,2,0,0,0,0,0
Bird-Dog,"Start on your hands and knees (tabletop position), hands under shoulders, knees under hips. Keep your back flat. Extend one arm straight forward while simultaneously extending the opposite leg straight back. Keep your core tight and avoid rotating your hips. Return to the starting position with control and switch sides.",Move slowly and deliberately. Focus on stability and maintaining a flat back. Imagine a glass of water on your lower back that you don't want to spill.,0,0,0,0,0,0,4,5,3,0,0,0,0
Dumbbell Thrusters,"Stand with feet shoulder-width apart, holding a dumbbell in each hand at shoulder height, palms facing each other. Lower into a squat. As you stand up explosively, press the dumbbells overhead. Control the dumbbells back to shoulder height as you descend into the next squat.","This is a fluid, continuous movement. Use the momentum from your legs to help drive the dumbbells up.",0,0,5,0,3,0,2,2,3,5,2,2,0
Dumbbell Renegade Row,"Start in a high plank position with your hands gripping dumbbells on the floor, shoulder-width apart. Keep your core tight and body stable. Row one dumbbell up towards your chest, squeezing your shoulder blade. Lower with control. Try to minimize hip rotation. Repeat on the other side. You can widen your feet for more stability.",Focus on keeping your hips as still as possible. This is a challenging core exercise.,0,4,2,2,0,3,5,2,0,0,0,0,0
Dumbbell Hammer Curls,"Stand or sit with a dumbbell in each hand, palms facing your body (neutral grip). Curl the dumbbells up towards your shoulders, keeping your palms facing each other. Slowly lower back down.",Maintain the neutral grip throughout the movement.,0,0,0,4,0,5,0,0,0,0,0,0,0
Dumbbell Kickbacks,"Hold a dumbbell in one hand. Hinge at your hips, keeping your back straight, until your torso is nearly parallel to the floor. Bring your upper arm close to your side, elbow bent at 90 degrees. Extend your forearm straight back, contracting your tricep. Slowly return to the starting position.",Keep your upper arm stationary and only move your forearm. Focus on squeezing the triceps.,0,0,0,0,5,0,0,0,0,0,0,0,0
Side Plank,"Lie on your side, propped up on one forearm, elbow directly under your shoulder. Stack your feet, or place your top foot in front of the bottom for more stability. Lift your hips off the floor, forming a straight line from head to heels. Keep your core engaged.","Avoid letting your hips sag. Keep your body in a straight line, not bent at the hips.",0,0,0,0,0,0,5,0,0,0,0,0,2
Rope Skipping,"Stand with feet close together, holding the rope handles with a relaxed grip. Keep your elbows tucked near your ribs and your hands slightly in front of your hips. Using a quick flick of the wrists to rotate the rope, hop just high enough to clear it, landing softly on the balls of your feet with every rotation.","Stay springy by jumping primarily from your ankles. Avoid butt-kicking or bending your knees excessively; your body should move like a pogo stick, not a spring-loaded squat.",0,0,2,0,0,3,2,0,2,2,1,5,0
